Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"RASA1","RAS P21 Protein Activator 1","Protein Coding","P20936","55","GC05P087267","8.56176948547363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASA1"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","P10644","60","GC17P112990","8.53988456726074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A"
"GBE1","1,4-Alpha-Glucan Branching Enzyme 1","Protein Coding","Q04446","53","GC03M081489","8.53161811828613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBE1"
"EHMT1","Euchromatic Histone Lysine Methyltransferase 1","Protein Coding","Q9H9B1","54","GC09P137618","8.53091430664063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHMT1"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","32","GC11P089078","8.49981784820557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"NOTCH4","Notch Receptor 4","Protein Coding","Q99466","55","GC06M093816","8.49701690673828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH4"
"MIR9-1","MicroRNA 9-1","RNA Gene","","27","GC01M156420","8.4933032989502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-1"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","53","GC16M023603","8.48192596435547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","P48736","58","GC07P106865","8.4812707901001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"KCNH1","Potassium Voltage-Gated Channel Subfamily H Member 1","Protein Coding","O95259","54","GC01M210678","8.44079971313477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH1"
"MIR93","MicroRNA 93","RNA Gene","","28","GC07M105252","8.43634796142578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","63","GC04P003985","8.41648197174072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","P51608","55","GC0XM154021","8.40951156616211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","61","GC02M136114","8.39936542510986","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"DIS3L2","DIS3 Like 3'-5' Exoribonuclease 2","Protein Coding","Q8IYB7","51","GC02P231961","8.38654327392578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIS3L2"
"EGR1","Early Growth Response 1","Protein Coding","P18146","53","GC05P138465","8.377028465271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGR1"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","P78536","59","GC02M009488","8.35994911193848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","58","GC01M058780","8.34142017364502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"MIR335","MicroRNA 335","RNA Gene","","27","GC07P130496","8.30817413330078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR335"
"MIR125B1","MicroRNA 125b-1","RNA Gene","","29","GC11M126625","8.29867935180664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B1"
"RPS6KB1","Ribosomal Protein S6 Kinase B1","Protein Coding","P23443","59","GC17P059893","8.29663276672363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","P11215","56","GC16P081706","8.29549026489258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM"
"LRP2","LDL Receptor Related Protein 2","Protein Coding","P98164","58","GC02M169127","8.2834415435791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP2"
"F13A1","Coagulation Factor XIII A Chain","Protein Coding","P00488","56","GC06M006144","8.26999282836914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F13A1"
"PRTN3","Proteinase 3","Protein Coding","P24158","54","GC19P000840","8.26656913757324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3"
"CHST3","Carbohydrate Sulfotransferase 3","Protein Coding","Q7LGC8","51","GC10P071964","8.2576379776001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST3"
"ADA","Adenosine Deaminase","Protein Coding","P00813","60","GC20M044620","8.25582027435303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","54","GC11M012029","8.24844360351563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"IFNGR1","Interferon Gamma Receptor 1","Protein Coding","P15260","60","GC06M137197","8.24514770507813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNGR1"
"RIN2","Ras And Rab Interactor 2","Protein Coding","Q8WYP3","48","GC20P019759","8.23466110229492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIN2"
"SNHG16","Small Nucleolar RNA Host Gene 16","RNA Gene","","26","GC17P113183","8.22825527191162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG16"
"ANO1","Anoctamin 1","Protein Coding","Q5XXA6","54","GC11P089362","8.22187995910645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO1"
"FCGR2A","Fc Gamma Receptor IIa","Protein Coding","P12318","56","GC01P161505","8.22154998779297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A"
"MIR222","MicroRNA 222","RNA Gene","","27","GC0XM045747","8.21065711975098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","P04439","54","GC06P134779","8.2089672088623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"COL6A1","Collagen Type VI Alpha 1 Chain","Protein Coding","P12109","53","GC21P045981","8.20726871490479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A1"
"PTH","Parathyroid Hormone","Protein Coding","P01270","54","GC11M013492","8.2017993927002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","58","GC06P134985","8.19761085510254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"CTSK","Cathepsin K","Protein Coding","P43235","58","GC01M160791","8.18964862823486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSK"
"PRKACA","Protein Kinase CAMP-Activated Catalytic Subunit Alpha","Protein Coding","P17612","61","GC19M092217","8.17088413238525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","P17948","59","GC13M028300","8.17049312591553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"FCGR3B","Fc Gamma Receptor IIIb","Protein Coding","O75015","52","GC01M161623","8.16004371643066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3B"
"HAMP","Hepcidin Antimicrobial Peptide","Protein Coding","P81172","52","GC19P112928","8.14606857299805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","P15941","56","GC01M155185","8.12845706939697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"CSF2","Colony Stimulating Factor 2","Protein Coding","P04141","54","GC05P132073","8.12347316741943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","Q99836","57","GC03P038290","8.12226676940918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"MIR139","MicroRNA 139","RNA Gene","","28","GC11M072615","8.11272048950195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR139"
"CHD8","Chromodomain Helicase DNA Binding Protein 8","Protein Coding","Q9HCK8","52","GC14M021385","8.11207389831543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD8"
"BCR","BCR Activator Of RhoGEF And GTPase","Protein Coding","P11274","60","GC22P023179","8.09728240966797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCR"
"MIR718","MicroRNA 718","RNA Gene","","20","GC0XM154019","8.08701515197754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR718"
"MIR23B","MicroRNA 23b","RNA Gene","","27","GC09P095085","8.07577323913574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B"
"PKD1-AS1","PKD1 Antisense RNA 1","RNA Gene","","20","GC16P095079","8.073805809021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD1-AS1"
"PIGN","Phosphatidylinositol Glycan Anchor Biosynthesis Class N","Protein Coding","O95427","48","GC18M061905","8.06998443603516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIGN"
"MSX2","Msh Homeobox 2","Protein Coding","P35548","54","GC05P174724","8.06129837036133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSX2"
"CEACAM5","CEA Cell Adhesion Molecule 5","Protein Coding","P06731","52","GC19P113136","8.05121231079102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM5"
"SETD2","SET Domain Containing 2, Histone Lysine Methyltransferase","Protein Coding","Q9BYW2","56","GC03M047033","8.0347843170166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD2"
"DSE","Dermatan Sulfate Epimerase","Protein Coding","Q9UL01","48","GC06P136156","8.03070068359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSE"
"HGF","Hepatocyte Growth Factor","Protein Coding","P14210","60","GC07M081699","8.02555847167969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","59","GC02M029190","8.02445888519287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","63","GC22M028687","8.01775074005127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"FABP2","Fatty Acid Binding Protein 2","Protein Coding","P12104","50","GC04M119317","8.01608371734619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP2"
"ADAMTS2","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 2","Protein Coding","O95450","50","GC05M179110","8.00541973114014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS2"
"NAGLU","N-Acetyl-Alpha-Glucosaminidase","Protein Coding","P54802","52","GC17P112331","7.99278831481934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGLU"
"APOC3","Apolipoprotein C3","Protein Coding","P02656","54","GC11P116829","7.98815727233887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC3"
"BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","P36894","60","GC10P109306","7.98214054107666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A"
"AMH","Anti-Mullerian Hormone","Protein Coding","P03971","53","GC19P111907","7.97742938995361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMH"
"RYR1","Ryanodine Receptor 1","Protein Coding","P21817","56","GC19P113006","7.96400928497314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"PWAR1","Prader Willi/Angelman Region RNA 1","RNA Gene","","22","GC15P025135","7.96044540405273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1"
"MIR200B","MicroRNA 200b","RNA Gene","","28","GC01P001167","7.96031093597412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"SPTBN1","Spectrin Beta, Non-Erythrocytic 1","Protein Coding","Q01082","54","GC02P054456","7.94998741149902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTBN1"
"SOST","Sclerostin","Protein Coding","Q9BQB4","52","GC17M043753","7.94176387786865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOST"
"IL1R1","Interleukin 1 Receptor Type 1","Protein Coding","P14778","56","GC02P102136","7.94043779373169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1"
"RIPPLY2","Ripply Transcriptional Repressor 2","Protein Coding","Q5TAB7","45","GC06P135543","7.94009399414063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPPLY2"
"NOX1","NADPH Oxidase 1","Protein Coding","Q9Y5S8","52","GC0XM100843","7.93936443328857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOX1"
"CAPN2","Calpain 2","Protein Coding","P17655","56","GC01P223701","7.93086910247803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN2"
"VKORC1","Vitamin K Epoxide Reductase Complex Subunit 1","Protein Coding","Q9BQB6","58","GC16M044160","7.92136478424072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VKORC1"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","Q9UBK2","55","GC04M023755","7.90260219573975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"COL7A1","Collagen Type VII Alpha 1 Chain","Protein Coding","Q02388","52","GC03M048564","7.90006351470947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL7A1"
"MIR27A","MicroRNA 27a","RNA Gene","","30","GC19M092209","7.87281703948975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"GH1","Growth Hormone 1","Protein Coding","P01241","52","GC17M063917","7.87036657333374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"CASP1","Caspase 1","Protein Coding","P29466","58","GC11M105025","7.86879396438599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1"
"DGCR5","DiGeorge Syndrome Critical Region Gene 5","RNA Gene","","27","GC22P069901","7.85673332214355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR5"
"PITX2","Paired Like Homeodomain 2","Protein Coding","Q99697","55","GC04M110617","7.85547685623169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITX2"
"CELSR1","Cadherin EGF LAG Seven-Pass G-Type Receptor 1","Protein Coding","Q9NYQ6","49","GC22M046360","7.84838628768921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR1"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","59","GC19P001177","7.8384428024292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"FTL","Ferritin Light Chain","Protein Coding","P02792","55","GC19P048965","7.82801818847656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTL"
"MIR324","MicroRNA 324","RNA Gene","","28","GC17M007223","7.82306241989136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR324"
"PGR","Progesterone Receptor","Protein Coding","P06401","59","GC11M126145","7.82104873657227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR"
"SEMA3E","Semaphorin 3E","Protein Coding","O15041","51","GC07M083363","7.79947757720947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3E"
"BHMT","Betaine--Homocysteine S-Methyltransferase","Protein Coding","Q93088","51","GC05P079111","7.78827142715454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHMT"
"MIR494","MicroRNA 494","RNA Gene","","24","GC14P116771","7.78797912597656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR494"
"STRA6","Signaling Receptor And Transporter Of Retinol STRA6","Protein Coding","Q9BX79","49","GC15M074179","7.7846565246582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STRA6"
"FLCN","Folliculin","Protein Coding","Q8NFG4","51","GC17M017212","7.76594734191895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"C3","Complement C3","Protein Coding","P01024","58","GC19M006677","7.75014877319336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3"
"MIR1225","MicroRNA 1225","RNA Gene","","22","GC16M002090","7.74658155441284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1225"
"COL4A3","Collagen Type IV Alpha 3 Chain","Protein Coding","Q01955","54","GC02P227164","7.74532604217529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A3"
"TPM2","Tropomyosin 2","Protein Coding","P07951","53","GC09M035672","7.7448296546936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM2"
"RAB4B-EGLN2","RAB4B-EGLN2 Readthrough (NMD Candidate)","RNA Gene","","18","GC19P040778","7.74482393264771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB4B-EGLN2"
"MSH2","MutS Homolog 2","Protein Coding","P43246","57","GC02P047403","7.74162864685059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"ANKS6","Ankyrin Repeat And Sterile Alpha Motif Domain Containing 6","Protein Coding","Q68DC2","48","GC09M098731","7.74120569229126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKS6"
"MIR23A","MicroRNA 23a","RNA Gene","","28","GC19M092210","7.72881317138672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23A"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","Q09428","54","GC11M017392","7.71419620513916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","P04278","51","GC17P007613","7.70940828323364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"S100A9","S100 Calcium Binding Protein A9","Protein Coding","P06702","53","GC01P153357","7.70690155029297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9"
"KCNJ2","Potassium Inwardly Rectifying Channel Subfamily J Member 2","Protein Coding","P63252","56","GC17P070168","7.70643138885498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ2"
"BMP10","Bone Morphogenetic Protein 10","Protein Coding","O95393","47","GC02M068865","7.6906156539917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP10"
"PKD1L1","Polycystin 1 Like 1, Transient Receptor Potential Channel Interacting","Protein Coding","Q8TDX9","44","GC07M047740","7.67868041992188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD1L1"
"PON2","Paraoxonase 2","Protein Coding","Q15165","52","GC07M095404","7.67549753189087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON2"
"LOC107303340","3p25 Von Hippel-Lindau Tumor Suppressor, E3 Ubiquitin Protein Ligase Alu-Mediated Recombination Region","Functional Element","","9","GC03P021532","7.6663990020752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107303340"
"NOX4","NADPH Oxidase 4","Protein Coding","Q9NPH5","51","GC11M089324","7.6661901473999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOX4"
"IFT88","Intraflagellar Transport 88","Protein Coding","Q13099","50","GC13P020718","7.64186143875122","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT88"
"SOX10","SRY-Box Transcription Factor 10","Protein Coding","P56693","54","GC22M078834","7.62943744659424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX10"
"KRT7","Keratin 7","Protein Coding","P08729","51","GC12P052232","7.62806749343872","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT7"
"DLL1","Delta Like Canonical Notch Ligand 1","Protein Coding","O00548","53","GC06M170282","7.58681201934814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLL1"
"IGFBP2","Insulin Like Growth Factor Binding Protein 2","Protein Coding","P18065","53","GC02P216632","7.58178091049194","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP2"
"TSHR","Thyroid Stimulating Hormone Receptor","Protein Coding","P16473","56","GC14P080954","7.57632350921631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHR"
"CARS1","Cysteinyl-TRNA Synthetase 1","Protein Coding","P49589","50","GC11M003000","7.5746898651123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARS1"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","P29475","58","GC12M117208","7.57284927368164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"CAT","Catalase","Protein Coding","P04040","60","GC11P034460","7.57157135009766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","58","GC07M005973","7.56681632995605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"FKBP10","FKBP Prolyl Isomerase 10","Protein Coding","Q96AY3","50","GC17P041812","7.55831003189087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP10"
"TPM1","Tropomyosin 1","Protein Coding","P09493","58","GC15P165361","7.52979230880737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM1"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","P39905","59","GC05M037812","7.51355028152466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF"
"YY1AP1","YY1 Associated Protein 1","Protein Coding","Q9H869","46","GC01M155659","7.50780868530273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YY1AP1"
"FOXP3","Forkhead Box P3","Protein Coding","Q9BZS1","56","GC0XM049250","7.50714159011841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"CCND1","Cyclin D1","Protein Coding","P24385","62","GC11P069641","7.49240446090698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"UFD1","Ubiquitin Recognition Factor In ER Associated Degradation 1","Protein Coding","Q92890","51","GC22M020042","7.48800039291382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UFD1"
"CYBA","Cytochrome B-245 Alpha Chain","Protein Coding","P13498","55","GC16M088643","7.47782707214355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBA"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","P11511","56","GC15M051208","7.47737979888916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"PAX2","Paired Box 2","Protein Coding","Q02962","55","GC10P100735","7.47033214569092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX2"
"PRDM16","PR/SET Domain 16","Protein Coding","Q9HAZ2","53","GC01P020557","7.45310258865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM16"
"AIM2","Absent In Melanoma 2","Protein Coding","O14862","50","GC01M161299","7.45020437240601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIM2"
"PIK3CB","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta","Protein Coding","P42338","56","GC03M138652","7.44435882568359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","58","GC11M027654","7.44053745269775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"CSF1","Colony Stimulating Factor 1","Protein Coding","P09603","53","GC01P109911","7.43037033081055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1"
"TFAP2A","Transcription Factor AP-2 Alpha","Protein Coding","P05549","55","GC06M010393","7.42625904083252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A"
"PRKCSH","PRKCSH Beta Subunit Of Glucosidase II","Protein Coding","P14314","52","GC19P011435","7.40908050537109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCSH"
"AXL","AXL Receptor Tyrosine Kinase","Protein Coding","P30530","60","GC19P041219","7.40724563598633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXL"
"MIRLET7B","MicroRNA Let-7b","RNA Gene","","27","GC22P070828","7.39917373657227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7B"
"TGM2","Transglutaminase 2","Protein Coding","P21980","56","GC20M038127","7.39090347290039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM2"
"MIR379","MicroRNA 379","RNA Gene","","23","GC14P116757","7.38934946060181","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR379"
"MUTYH","MutY DNA Glycosylase","Protein Coding","Q9UIF7","53","GC01M045329","7.37673282623291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"ECE1","Endothelin Converting Enzyme 1","Protein Coding","P42892","58","GC01M021217","7.369384765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECE1"
"BSG","Basigin (Ok Blood Group)","Protein Coding","P35613","53","GC19P000571","7.34693336486816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG"
"SNORD15A","Small Nucleolar RNA, C/D Box 15A","RNA Gene","","23","GC11P075400","7.34440183639526","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A"
"SHOC2","SHOC2 Leucine Rich Repeat Scaffold Protein","Protein Coding","Q9UQ13","50","GC10P110919","7.3429708480835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHOC2"
"C1S","Complement C1s","Protein Coding","P09871","55","GC12P038999","7.31954097747803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1S"
"IFNA1","Interferon Alpha 1","Protein Coding","P01562","48","GC09P021770","7.31917381286621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"MIR203A","MicroRNA 203a","RNA Gene","","27","GC14P115816","7.30424880981445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"PCNT","Pericentrin","Protein Coding","O95613","53","GC21P046324","7.29011249542236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNT"
"MIR27B","MicroRNA 27b","RNA Gene","","28","GC09P100480","7.28489875793457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27B"
"CHRNG","Cholinergic Receptor Nicotinic Gamma Subunit","Protein Coding","P07510","51","GC02P232539","7.27660274505615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNG"
"AAAS","Aladin WD Repeat Nucleoporin","Protein Coding","Q9NRG9","49","GC12M053307","7.2608437538147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAAS"
"JARID2","Jumonji And AT-Rich Interaction Domain Containing 2","Protein Coding","Q92833","51","GC06P015246","7.25882816314697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JARID2"
"SMARCA2","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 2","Protein Coding","P51531","58","GC09P001980","7.25162601470947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA2"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","32","GC10P118053","7.24702548980713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"SKIC2","SKI2 Subunit Of Superkiller Complex","Protein Coding","Q15477","52","GC06P144468","7.24648952484131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKIC2"
"BMPR2","Bone Morphogenetic Protein Receptor Type 2","Protein Coding","Q13873","59","GC02P202376","7.23998546600342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR2"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","P05556","58","GC10M035774","7.22597694396973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1"
"RERE","Arginine-Glutamic Acid Dipeptide Repeats","Protein Coding","Q9P2R6","51","GC01M014433","7.22278213500977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RERE"
"KCNQ1","Potassium Voltage-Gated Channel Subfamily Q Member 1","Protein Coding","P51787","58","GC11P002444","7.19961643218994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1"
